店コード	店名称（漢字）	郵便番号	住所	latitude	longitude
05199	豊見城店	9010235	沖縄県豊見城市名嘉地277-1	26.179713	127.665741
05201	ＪＲ熊本店	8600047	熊本県熊本市西区春日3-15-30肥後よかﾓﾝ市場105区画	32.790424	130.685213
05202	戸田駅前店	3350021	埼玉県戸田市大字新曽676-7	35.817644	139.666741
05204	岐阜島店	5020914	岐阜県岐阜市菅生7-5-23	35.423512	136.72974
05205	徳島羽ノ浦店	7730022	徳島県小松島市大林町字高橋144-7	33.978527	134.617168
05206	浜松初生店	4338112	静岡県浜松市中央区初生町57-3	34.764883	137.727582
05208	掛川緑ヶ丘店	4360021	静岡県掛川市緑ヶ丘1-25-1	34.769387	138.02352
05209	与野西口店	3380002	埼玉県さいたま市中央区下落合1712番地	35.884205	139.631217
05210	なかもず店	5918032	大阪府堺市北区百舌鳥梅町3ｰ24ｰ5	34.551363	135.498386
05211	本巣店	5010471	岐阜県本巣市政田1986	35.440918	136.64165
05212	草加新栄店	3400056	埼玉県草加市新栄1-37-15	35.856738	139.767957
05213	千里丘ミリカ・ヒルズ店	5650815	大阪府吹田市千里丘北1-17	34.801629	135.545651
05214	ゆめタウン徳島店	7711202	徳島県板野郡藍住町字奥野東中須88-1	34.1207359	134.4942181
05216	志段味店	4630001	愛知県名古屋市守山区上志段味特定土地区画整理組合91街区1	35.252105	137.041109
05217	津島崎町店	5140002	三重県津市島崎町302-1	34.732609	136.521966
05218	船橋薬円台店	2740073	千葉県船橋市田喜野井7-16-7	35.701651	140.043038
05219	新潟中条店	9592629	新潟県胎内市中条3119-1	38.051399	139.410072
05220	盛岡マッハランド店	0200125	岩手県盛岡市上堂1-2-50	39.727838	141.124224
05221	稲沢天池店	4928274	愛知県稲沢市天池光田町94-3	35.252979	136.775027
05222	蕨西口店	3350004	埼玉県蕨市中央1-2-6	35.822972	139.686157
05223	イオンスタイル仙台卸町店	9840015	宮城県仙台市若林区卸町1丁目1-1	38.256207	140.925676
05224	鹿屋バイパス店	8930065	鹿児島県鹿屋市郷之原町11934-1	31.394749	130.819201
05225	西心斎橋店	5420086	大阪府大阪市中央区西心斎橋1-9-28	34.671919	135.49826
05226	守谷店	3020128	茨城県守谷市けやき台5-1-7	35.935089	139.995611
05227	ビバホーム柳津店	5016123	岐阜県岐阜市柳津町流通ｾﾝﾀｰ1-52	35.36448	136.71081
05229	府中フォーリス店	1830023	東京都府中市宮町1-41-1ﾌｫﾚｽﾄｻｲﾄﾞﾋﾞﾙ1階	35.66918	139.480586
05231	福重店	8190041	福岡県福岡市西区拾六町1-25-4	33.566249	130.307172
05232	熊本飛田バイパス店	8615517	熊本県熊本市北区鶴羽田1-14-18	32.861284	130.725444
05233	東急ストア下田店	4150035	静岡県下田市東本郷1-2-1	34.68233	138.945937
05234	柏崎店	9450031	新潟県柏崎市新田畑1-8	37.374112	138.583148
05236	武雄店	8430024	佐賀県武雄市武雄町大字富岡277番地	33.199903	130.019471
05237	新瑞店	4670066	愛知県名古屋市瑞穂区洲山町2-31	35.118929	136.938543
